Project,Package,Class,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,Fan-In,Fan-Out,File,Line no
java,org.apache.roller.weblogger.business,BookmarkManager,0,0,12,0,83,12,1,0,-1.0,10,4,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/BookmarkManager.java,28
java,org.apache.roller.weblogger.business.plugins.entry,EncodePreTagsPlugin,3,0,5,4,37,7,0,1,0.8,0,3,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/plugins/entry/EncodePreTagsPlugin.java,30
java,org.apache.roller.weblogger.business.plugins.entry,ObfuscateEmailPlugin,3,0,5,5,22,5,0,1,1.0,0,4,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/plugins/entry/ObfuscateEmailPlugin.java,30
java,org.apache.roller.weblogger.business.plugins.entry,WeblogEntryPlugin,0,0,4,0,25,4,4,0,-1.0,2,3,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/plugins/entry/WeblogEntryPlugin.java,26
java,org.apache.roller.weblogger.business.plugins.entry,ConvertLineBreaksPlugin,4,0,5,5,59,11,0,1,0.6,0,3,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/plugins/entry/ConvertLineBreaksPlugin.java,30
java,org.apache.roller.weblogger.business.plugins.entry,SmileysPlugin,7,1,7,5,98,17,0,1,0.42857142857142855,0,4,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/plugins/entry/SmileysPlugin.java,33
java,org.apache.roller.weblogger.business.plugins,PluginManager,0,0,6,0,36,6,1,0,-1.0,10,3,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/plugins/PluginManager.java,30
java,org.apache.roller.weblogger.business.plugins,PluginManagerImpl,3,0,9,7,121,21,0,1,0.2222222222222222,1,7,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/plugins/PluginManagerImpl.java,40
java,org.apache.roller.weblogger.business.plugins.comment,AutoformatPlugin,1,0,5,5,52,10,0,1,1.0,0,1,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/plugins/comment/AutoformatPlugin.java,28
java,org.apache.roller.weblogger.business.plugins.comment,WeblogEntryCommentPlugin,0,0,4,0,24,4,3,0,-1.0,0,1,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/plugins/comment/WeblogEntryCommentPlugin.java,24
java,org.apache.roller.weblogger.business.plugins.comment,HTMLSubsetPlugin,1,0,5,5,31,6,0,1,0.8,0,2,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/plugins/comment/HTMLSubsetPlugin.java,27
java,org.apache.roller.weblogger.business.plugins.comment,LinkMarkupPlugin,2,0,5,5,62,8,0,1,1.0,0,2,/home/samagra-bharti/Desktop/SE/project-1-team-2-1/app/src/main/java/org/apache/roller/weblogger/business/plugins/comment/LinkMarkupPlugin.java,30
